Año,Mes,Puesto de Peaje,Liviano,Dos Tres Ejes,Furgón,Motocicletas,Autobus,Total
2024,Junio,Zurquí,115833.0,17658.0,27383.0,7826.0,7140.0,175840.0
2024,Mayo,Zurquí,123850.0,19044.0,28348.0,8500.0,7332.0,187074.0
2024,Abril,Zurquí,123439.0,18211.0,27053.0,8427.0,7799.0,184929.0
2024,Marzo,Zurquí,142170.0,18470.0,26555.0,9255.0,9870.0,206320.0
2024,Febrero,Zurquí,92252.0,14624.0,23341.0,6082.0,6675.0,142974.0
2024,Enero,Zurquí,136606.0,18791.0,26913.0,8008.0,9770.0,200088.0
2023,Noviembre,Zurquí,119245.0,18686.0,25777.0,7223.0,8261.0,179192.0
2023,Octubre,Zurquí,110568.0,16527.0,23654.0,7080.0,7331.0,165160.0
2023,Agosto,Zurquí,125384.0,18414.0,24227.0,7404.0,7015.0,182444.0
2023,Julio,Zurquí,128176.0,17793.0,23220.0,6986.0,7680.0,183855.0
2023,Junio,Zurquí,119524.0,18916.0,24709.0,7534.0,7537.0,178220.0
2023,Mayo,Zurquí,127023.0,18839.0,27508.0,7538.0,6264.0,187172.0
2023,Abril,Zurquí,130146.0,15476.0,23269.0,7269.0,5842.0,182002.0
2023,Marzo,Zurquí,120005.0,16645.0,27374.0,6743.0,5768.0,176535.0
2023,Febrero,Zurquí,119910.0,16549.0,23236.0,6408.0,5586.0,171689.0
2023,Enero,Zurquí,129966.0,16996.0,22153.0,6258.0,5429.0,180802.0
2022,Noviembre,Zurquí,110723.0,16103.0,22950.0,6256.0,4067.0,160099.0
2022,Octubre,Zurquí,113736.0,16729.0,23793.0,6515.0,4198.0,164971.0
2022,Agosto,Zurquí,123292.0,19191.0,25357.0,6393.0,5102.0,179335.0
2022,Julio,Zurquí,77392.0,12264.0,16456.0,3874.0,3209.0,113195.0
2022,Junio,Zurquí,76394.0,13877.0,18477.0,4039.0,2817.0,115604.0
2022,Mayo,Zurquí,116477.0,19616.0,23888.0,6081.0,4119.0,170181.0
2022,Abril,Zurquí,123694.0,18502.0,21665.0,5839.0,4842.0,174542.0
2022,Marzo,Zurquí,133717.0,21460.0,27207.0,6666.0,5005.0,194055.0
2022,Febrero,Zurquí,120900.0,15967.0,20261.0,5378.0,4251.0,166757.0
2022,Enero,Zurquí,132017.0,15011.0,18729.0,5970.0,4620.0,176347.0
2021,Noviembre,Zurquí,126456.0,15677.0,18885.0,5739.0,4026.0,170783.0
2021,Octubre,Zurquí,121869.0,14675.0,18973.0,5704.0,3800.0,165021.0
2021,Agosto,Zurquí,111797.0,14754.0,17659.0,4900.0,3563.0,152673.0
2021,Julio,Zurquí,109213.0,13432.0,16527.0,4639.0,3384.0,147195.0
2021,Junio,Zurquí,106693.0,13767.0,17509.0,4584.0,2988.0,145541.0
2021,Mayo,Zurquí,100375.0,13871.0,17662.0,4602.0,2796.0,139306.0
2021,Abril,Zurquí,100000.0,14130.0,18448.0,4560.0,2864.0,140002.0
2021,Marzo,Zurquí,133408.0,17380.0,21660.0,5900.0,3185.0,181533.0
2021,Febrero,Zurquí,105817.0,12779.0,16500.0,4845.0,2725.0,142666.0
2021,Enero,Zurquí,115038.0,12682.0,15377.0,4863.0,3078.0,151038.0
2020,Diciembre,Zurquí,121223.0,13442.0,15970.0,5429.0,2960.0,159024.0
2020,Noviembre,Zurquí,109965.0,14109.0,15916.0,5322.0,2254.0,147566.0
2020,Octubre,Zurquí,92348.0,13272.0,15749.0,5203.0,1633.0,128205.0
2020,Setiembre,Zurquí,93407.0,13473.0,14640.0,4634.0,1508.0,127662.0
2020,Agosto,Zurquí,83215.0,13811.0,15824.0,4210.0,1430.0,118490.0
2020,Julio,Zurquí,69361.0,12421.0,14632.0,3520.0,1023.0,100957.0
2020,Junio,Zurquí,77482.0,13481.0,16760.0,3832.0,1267.0,112822.0
2020,Mayo,Zurquí,76891.0,12869.0,15625.0,3993.0,1242.0,110620.0
2020,Abril,Zurquí,48208.0,10230.0,14256.0,2771.0,686.0,76151.0
2020,Marzo,Zurquí,97260.0,18701.0,25965.0,5808.0,4178.0,151912.0
2020,Febrero,Zurquí,120083.0,19269.0,23696.0,5815.0,6135.0,174998.0
2020,Enero,Zurquí,122241.0,17854.0,21939.0,5256.0,6447.0,173737.0
2019,Diciembre,Zurquí,130538.0,17202.0,20025.0,6138.0,6754.0,180657.0
2019,Noviembre,Zurquí,123827.0,19236.0,22720.0,6358.0,6419.0,178560.0
2019,Octubre,Zurquí,129135.0,20584.0,23092.0,6559.0,5786.0,185156.0
2019,Setiembre,Zurquí,121415.0,20193.0,22538.0,6450.0,5375.0,175971.0
2019,Agosto,Zurquí,128222.0,19577.0,22655.0,6225.0,5945.0,182624.0
2019,Julio,Zurquí,122182.0,18404.0,23519.0,5959.0,6131.0,176195.0
2019,Junio,Zurquí,116153.0,18181.0,21105.0,5878.0,5328.0,166645.0
2019,Mayo,Zurquí,111030.0,18436.0,24001.0,5214.0,5106.0,163787.0
2019,Abril,Zurquí,127412.0,17683.0,22886.0,6263.0,6352.0,180596.0
2019,Marzo,Zurquí,136281.0,20010.0,26873.0,6535.0,6928.0,196627.0
2019,Febrero,Zurquí,124850.0,18362.0,24646.0,6121.0,6333.0,180312.0
2019,Enero,Zurquí,137330.0,19607.0,24804.0,5923.0,7083.0,194747.0
2018,Diciembre,Zurquí,145824.0,17809.0,20825.0,6794.0,7172.0,198424.0
2018,Noviembre,Zurquí,121668.0,19179.0,26648.0,5996.0,6312.0,179803.0
2018,Octubre,Zurquí,121162.0,18603.0,23899.0,6304.0,5513.0,175481.0
2018,Setiembre,Zurquí,105093.0,16975.0,21176.0,5904.0,4944.0,154092.0
2018,Agosto,Zurquí,114629.0,17797.0,25352.0,5382.0,5816.0,168976.0
2018,Julio,Zurquí,96875.0,15147.0,22486.0,4085.0,5383.0,143976.0
2018,Junio,Zurquí,117330.0,19193.0,26575.0,5575.0,5604.0,174277.0
2018,Mayo,Zurquí,126390.0,20398.0,29257.0,5938.0,5854.0,187837.0
2018,Abril,Zurquí,122717.0,19648.0,27741.0,5952.0,6210.0,182268.0
2018,Marzo,Zurquí,138476.0,19440.0,28400.0,6685.0,6793.0,199794.0
2018,Febrero,Zurquí,118011.0,17047.0,25134.0,5932.0,5777.0,171901.0
2018,Enero,Zurquí,119638.0,18578.0,25665.0,4641.0,6116.0,174638.0
2017,Diciembre,Zurquí,134725.0,17561.0,23054.0,6128.0,6479.0,187947.0
2017,Noviembre,Zurquí,127514.0,20130.0,27248.0,6407.0,6173.0,187472.0
2017,Octubre,Zurquí,124572.0,18905.0,24825.0,6082.0,5238.0,179622.0
2017,Setiembre,Zurquí,123955.0,18503.0,24841.0,6158.0,5031.0,178488.0
2017,Agosto,Zurquí,124416.0,19128.0,26955.0,6215.0,5633.0,182347.0
2017,Julio,Zurquí,134369.0,18192.0,24717.0,5975.0,6405.0,189658.0
2017,Junio,Zurquí,106821.0,16126.0,25316.0,5303.0,4726.0,158292.0
2017,Mayo,Zurquí,118514.0,18922.0,27648.0,5439.0,5145.0,175668.0
2017,Abril,Zurquí,132263.0,17615.0,24681.0,6116.0,6160.0,186835.0
2017,Marzo,Zurquí,124887.0,18986.0,30516.0,6008.0,6036.0,186433.0
2017,Febrero,Zurquí,116537.0,17176.0,25651.0,5694.0,5681.0,170739.0
2017,Enero,Zurquí,122500.0,16226.0,25353.0,5287.0,6138.0,175504.0
2016,Diciembre,Zurquí,132519.0,17368.0,23714.0,5583.0,6490.0,185674.0
2016,Noviembre,Zurquí,103107.0,15797.0,22625.0,4465.0,4964.0,150958.0
2016,Octubre,Zurquí,125390.0,17446.0,24819.0,5679.0,5500.0,178834.0
2016,Setiembre,Zurquí,118627.0,16491.0,24468.0,5485.0,4865.0,169936.0
2016,Agosto,Zurquí,124126.0,17992.0,24713.0,5413.0,5694.0,177938.0
2016,Julio,Zurquí,132232.0,17701.0,23631.0,5480.0,6650.0,185694.0
2016,Junio,Zurquí,110305.0,17526.0,24623.0,4878.0,5267.0,162599.0
2016,Mayo,Zurquí,113765.0,17915.0,25936.0,4954.0,5368.0,167938.0
2016,Abril,Zurquí,122131.0,17145.0,26202.0,5453.0,6054.0,176985.0
2016,Marzo,Zurquí,108443.0,20816.0,23386.0,5139.0,6910.0,164694.0
2016,Febrero,Zurquí,101342.0,16005.0,25038.0,4063.0,6213.0,152661.0
2016,Enero,Zurquí,120879.0,16311.0,23957.0,4559.0,6862.0,172568.0
2015,Diciembre,Zurquí,122871.0,17084.0,22971.0,4513.0,7221.0,174660.0
2015,Noviembre,Zurquí,108933.0,17288.0,24027.0,4691.0,6161.0,161100.0
2015,Octubre,Zurquí,114860.0,18116.0,22687.0,4847.0,5827.0,166337.0
2015,Setiembre,Zurquí,105932.0,17254.0,22547.0,4168.0,5532.0,155433.0
2015,Agosto,Zurquí,112879.0,16566.0,22551.0,4614.0,6108.0,162718.0
2015,Julio,Zurquí,96471.0,16669.0,23558.0,3935.0,6016.0,146649.0
2015,Junio,Zurquí,75616.0,14001.0,18765.0,3078.0,4110.0,115570.0
2015,Mayo,Zurquí,102011.0,18426.0,22947.0,4089.0,5412.0,152885.0
2015,Abril,Zurquí,106742.0,16717.0,22746.0,4341.0,5942.0,156488.0
2015,Marzo,Zurquí,114055.0,17842.0,27594.0,4490.0,6431.0,170412.0
2015,Febrero,Zurquí,100421.0,15424.0,24337.0,3436.0,5799.0,149417.0
2015,Enero,Zurquí,106983.0,15974.0,21755.0,3444.0,6546.0,154702.0
2014,Diciembre,Zurquí,106861.0,16489.0,20437.0,3448.0,6500.0,153735.0
